Geo Code,Geo Name,Line Number
"35060080253","35060253",1357190
"35060080254","35060254",1359437
"35060080255","35060255",1361684
"35060080264","35060264",1363931
"35060080267","35060267",1366178
"35060080280","35060280",1368425
"35060080282","35060282",1370672
"35060080283","35060283",1372919
"35060080285","35060285",1375166
"35060080286","35060286",1377413
"35060080287","35060287",1379660
"35060080288","35060288",1381907
"35060080289","35060289",1384154
"35060080290","35060290",1386401
"35060080291","35060291",1388648
"35060080292","35060292",1390895
"35060080293","35060293",1393142
"35060080294","35060294",1395389
"35060080295","35060295",1397636
"35060080296","35060296",1399883
"35060080297","35060297",1402130
"35060080298","35060298",1404377
"35060080300","35060300",1406624
"35060080301","35060301",1408871
"35060080305","35060305",1411118
"35060080306","35060306",1413365
"35060080307","35060307",1415612
"35060080308","35060308",1417859
"35060080310","35060310",1420106
"35060080312","35060312",1422353
"35060080313","35060313",1424600
"35060080314","35060314",1426847
"35060080315","35060315",1429094
"35060080324","35060324",1431341
"35060080325","35060325",1433588
"35060080327","35060327",1435835
"35060080329","35060329",1438082
"35060080330","35060330",1440329
"35060080331","35060331",1442576
"35060080332","35060332",1444823
"35060080333","35060333",1447070
"35060080334","35060334",1449317
"35060080336","35060336",1451564
"35060080337","35060337",1453811
"35060080338","35060338",1456058
"35060080339","35060339",1458305
"35060080343","35060343",1460552
"35060080345","35060345",1462799
"35060080346","35060346",1465046
"35060080347","35060347",1467293
"35060080348","35060348",1469540
"35060080353","35060353",1471787
"35060080354","35060354",1474034
"35060080360","35060360",1476281
"35060080361","35060361",1478528
"35060080364","35060364",1480775
"35060080366","35060366",1483022
"35060080367","35060367",1485269
"35060080368","35060368",1487516
"35060080371","35060371",1489763
"35060080373","35060373",1492010
"35060080375","35060375",1494257
"35060080379","35060379",1496504
"35060080380","35060380",1498751
"35060080381","35060381",1500998
"35060080382","35060382",1503245
"35060080383","35060383",1505492
"35060080384","35060384",1507739
"35060080385","35060385",1509986
"35060080386","35060386",1512233
"35060080387","35060387",1514480
"35060080388","35060388",1516727
"35060080389","35060389",1518974
"35060080390","35060390",1521221
"35060080391","35060391",1523468
"35060080392","35060392",1525715
"35060080393","35060393",1527962
"35060080394","35060394",1530209
"35060080395","35060395",1532456
"35060080396","35060396",1534703
"35060080397","35060397",1536950
"35060080399","35060399",1539197
"35060080400","35060400",1541444
"35060080401","35060401",1543691
"35060080402","35060402",1545938
"35060080403","35060403",1548185
"35060080404","35060404",1550432
"35060080405","35060405",1552679
"35060080406","35060406",1554926
"35060080407","35060407",1557173
"35060080408","35060408",1559420
"35060080412","35060412",1561667
"35060080413","35060413",1563914
"35060080417","35060417",1566161
"35060080419","35060419",1568408
"35060080434","35060434",1570655
"35060080435","35060435",1572902
"35060080436","35060436",1575149
"35060080437","35060437",1577396
"35060080438","35060438",1579643
"35060080439","35060439",1581890
"35060080440","35060440",1584137
"35060080443","35060443",1586384
"35060080444","35060444",1588631
"35060080445","35060445",1590878
"35060080446","35060446",1593125
"35060080447","35060447",1595372
"35060080448","35060448",1597619
"35060080449","35060449",1599866
"35060080450","35060450",1602113
"35060080451","35060451",1604360
"35060080452","35060452",1606607
"35060080455","35060455",1608854
"35060080456","35060456",1611101
"35060080457","35060457",1613348
"35060080458","35060458",1615595
"35060080459","35060459",1617842
"35060080460","35060460",1620089
"35060080461","35060461",1622336
"35060080462","35060462",1624583
"35060080463","35060463",1626830
"35060080464","35060464",1629077
"35060080465","35060465",1631324
"35060080466","35060466",1633571
"35060080467","35060467",1635818
"35060080468","35060468",1638065
"35060080469","35060469",1640312
"35060080471","35060471",1642559
"35060080474","35060474",1644806
"35060080475","35060475",1647053
"35060080476","35060476",1649300
"35060080479","35060479",1651547
"35060080480","35060480",1653794
"35060080481","35060481",1656041
"35060080482","35060482",1658288
"35060080483","35060483",1660535
"35060080484","35060484",1662782
"35060080485","35060485",1665029
"35060080486","35060486",1667276
"35060080488","35060488",1669523
"35060080491","35060491",1671770
"35060080492","35060492",1674017
"35060080493","35060493",1676264
"35060080494","35060494",1678511
